,Athens,Berlin,query
2021-11-17 16:00:00+01:00,7.296812872,0.955133779,2021-11-17 16:00:00+01:00
2021-11-17 17:00:00+01:00,0.79357161,0.554926737,2021-11-17 16:00:00+01:00
2021-11-17 18:00:00+01:00,4.379232987,2.270632466,2021-11-17 16:00:00+01:00
2021-11-17 19:00:00+01:00,8.649383707,4.82204947,2021-11-17 16:00:00+01:00
2021-11-17 20:00:00+01:00,7.820783373,5.278107717,2021-11-17 16:00:00+01:00
2021-11-17 21:00:00+01:00,3.594940086,2.928004268,2021-11-17 16:00:00+01:00
2021-11-17 22:00:00+01:00,3.554558148,2.911326766,2021-11-17 16:00:00+01:00
2021-11-17 23:00:00+01:00,3.363080248,2.114927868,2021-11-17 16:00:00+01:00
2021-11-18 00:00:00+01:00,10.61063611,3.821791781,2021-11-17 16:00:00+01:00
2021-11-18 01:00:00+01:00,4.285729281,1.45736958,2021-11-17 16:00:00+01:00
2021-11-18 02:00:00+01:00,4.460623629,2.23397586,2021-11-17 16:00:00+01:00
2021-11-18 03:00:00+01:00,8.996763407,8.516720281,2021-11-17 16:00:00+01:00
2021-11-18 04:00:00+01:00,10.30699302,3.790219081,2021-11-18 04:00:00+01:00
2021-11-18 05:00:00+01:00,7.110834386,3.638253584,2021-11-18 04:00:00+01:00
2021-11-18 06:00:00+01:00,11.45853292,1.824086435,2021-11-18 04:00:00+01:00
2021-11-18 07:00:00+01:00,1.995386491,1.991309836,2021-11-18 04:00:00+01:00
2021-11-18 08:00:00+01:00,4.850016696,1.077477529,2021-11-18 04:00:00+01:00
2021-11-18 09:00:00+01:00,7.949833856,1.756952449,2021-11-18 04:00:00+01:00
2021-11-18 10:00:00+01:00,7.189804524,2.119198095,2021-11-18 04:00:00+01:00
2021-11-18 11:00:00+01:00,3.666995869,0.643448649,2021-11-18 04:00:00+01:00
2021-11-18 12:00:00+01:00,7.81033026,1.547626003,2021-11-18 04:00:00+01:00
2021-11-18 13:00:00+01:00,6.268770979,5.717602556,2021-11-18 04:00:00+01:00
2021-11-18 14:00:00+01:00,10.82414693,10.66423135,2021-11-18 04:00:00+01:00
2021-11-18 15:00:00+01:00,9.881663766,2.979832135,2021-11-18 04:00:00+01:00
2021-11-18 16:00:00+01:00,7.959970791,3.93927698,2021-11-18 16:00:00+01:00
2021-11-18 17:00:00+01:00,11.18465875,4.429130911,2021-11-18 16:00:00+01:00
2021-11-18 18:00:00+01:00,10.95979516,7.334775615,2021-11-18 16:00:00+01:00
2021-11-18 19:00:00+01:00,11.19933904,8.938891642,2021-11-18 16:00:00+01:00
2021-11-18 20:00:00+01:00,1.506858665,0.816009416,2021-11-18 16:00:00+01:00
2021-11-18 21:00:00+01:00,1.472405989,0.036146503,2021-11-18 16:00:00+01:00
2021-11-18 22:00:00+01:00,6.781846036,6.074965786,2021-11-18 16:00:00+01:00
2021-11-18 23:00:00+01:00,9.13239296,0.638662084,2021-11-18 16:00:00+01:00
2021-11-19 00:00:00+01:00,0.936259657,0.378146531,2021-11-18 16:00:00+01:00
2021-11-19 01:00:00+01:00,6.048136252,4.910362928,2021-11-18 16:00:00+01:00
2021-11-19 02:00:00+01:00,4.726217796,1.835121317,2021-11-18 16:00:00+01:00
2021-11-19 03:00:00+01:00,11.24010086,9.898383875,2021-11-18 16:00:00+01:00
2021-11-19 04:00:00+01:00,9.881663766,2.979832135,2021-11-19 04:00:00+01:00
2021-11-19 05:00:00+01:00,7.959970791,3.93927698,2021-11-19 04:00:00+01:00
2021-11-19 06:00:00+01:00,11.18465875,4.429130911,2021-11-19 04:00:00+01:00
2021-11-19 07:00:00+01:00,10.95979516,7.334775615,2021-11-19 04:00:00+01:00
2021-11-19 08:00:00+01:00,11.19933904,8.938891642,2021-11-19 04:00:00+01:00
2021-11-19 09:00:00+01:00,1.506858665,0.816009416,2021-11-19 04:00:00+01:00
2021-11-19 10:00:00+01:00,1.472405989,0.036146503,2021-11-19 04:00:00+01:00
2021-11-19 11:00:00+01:00,6.781846036,6.074965786,2021-11-19 04:00:00+01:00
2021-11-19 12:00:00+01:00,9.13239296,0.638662084,2021-11-19 04:00:00+01:00
2021-11-19 13:00:00+01:00,0.936259657,0.378146531,2021-11-19 04:00:00+01:00
2021-11-19 14:00:00+01:00,6.048136252,4.910362928,2021-11-19 04:00:00+01:00
2021-11-19 15:00:00+01:00,4.726217796,1.835121317,2021-11-19 04:00:00+01:00
2021-11-19 16:00:00+01:00,11.24010086,9.898383875,2021-11-19 04:00:00+01:00
2021-11-19 17:00:00+01:00,9.881663766,2.979832135,2021-11-19 04:00:00+01:00
