,Athens,Berlin,Paris,Rome
2021-12-11 07:00:00+01:00,16.1,-3.1,5,5
2021-12-11 06:00:00+01:00,16.1,-3.1,4.3,5.7
2021-12-11 05:00:00+01:00,15,-2.5,4.4,5.9
2021-12-11 04:00:00+01:00,13.9,-2.1,4.5,6.4
2021-12-11 03:00:00+01:00,12.2,-2.1,4.6,6.9
2021-12-11 02:00:00+01:00,11.1,-1.8,5.8,6.2
2021-12-11 01:00:00+01:00,11.1,-1.4,5.3,6.5
2021-12-11 00:00:00+01:00,8.9,-1.4,4.2,6.9
2021-12-10 23:00:00+01:00,8.9,-0.7,4.2,7.3
2021-12-10 22:00:00+01:00,8.9,-0.4,4.2,7.8
2021-12-10 21:00:00+01:00,7.8,0.2,6.8,7.3
2021-12-10 20:00:00+01:00,10,0.4,7,7.6
2021-12-10 19:00:00+01:00,11.1,0.4,7.2,7.7
2021-12-10 18:00:00+01:00,12.8,0.5,7.5,7.2
2021-12-12 07:00:00+01:00,10,-2.1,7.1,5.2
2021-12-12 06:00:00+01:00,12.8,-3.3,7.3,5.5
2021-12-12 05:00:00+01:00,13.9,-2.7,7,5.9
2021-12-12 04:00:00+01:00,15,0.1,6.5,5.4
2021-12-12 03:00:00+01:00,15,-0.1,6.3,5.6
2021-12-12 02:00:00+01:00,15,-0.5,6,6
2021-12-12 01:00:00+01:00,16.1,-0.7,6.6,6.3
2021-12-12 00:00:00+01:00,16.1,-0.7,6,6.6
2021-12-11 23:00:00+01:00,16.1,0.2,6.4,6.8
2021-12-11 22:00:00+01:00,15,0.2,6,7.1
2021-12-11 21:00:00+01:00,17.2,0,5.9,7.4
2021-12-11 20:00:00+01:00,17.2,-0.2,6.3,7.9
2021-12-11 19:00:00+01:00,17.2,-0.2,6.6,7.9
2021-12-11 18:00:00+01:00,17.2,-0.2,5.4,8.5
2021-12-11 17:00:00+01:00,17.2,0,7.6,8.9
2021-12-11 16:00:00+01:00,17.2,-0.1,6,11.1
2021-12-11 15:00:00+01:00,17.2,0.1,7.5,10
2021-12-11 14:00:00+01:00,17.2,0.9,7.8,10
2021-12-11 13:00:00+01:00,17.2,0.6,6.4,8.9
2021-12-11 12:00:00+01:00,17.2,-0.1,5.6,8.9
2021-12-11 11:00:00+01:00,17.2,-0.9,4.3,8.9
2021-12-11 10:00:00+01:00,16.1,-1.7,3.5,6.1
2021-12-11 09:00:00+01:00,16.1,-1.9,3.3,6.1
2021-12-11 08:00:00+01:00,15,-3.6,3.9,5.5
